lemmata,text
ГЪО́КЬЕ,"// ГЪО́РКЬЕ КЪОС межд. возглас, которым поварачивают осла в направлении вниз"
ГЪО́КЬО,"V (-о́, -о́бо, -оза́) зоол. медвежонок; зен гъокьбон медведица с медвежатами; квант. гъокьу"
ГЪОКЬЧIЕ́Л,IV (-и́) засада; гъокьчIел лийа организовать (устроить) засаду
ГЪОЛБА́С,"IV (-и́, -бо, -за́) подпись; гъолбас лийа подписать"
ГЪО́ЛКЬО,"нареч. утром; гъолкьо ило гьунегьо бехъви мы утром двинулись в путь; гъолокьогъул гьара соки к утру боль притихла ♦ гъолкьо лыссагьа къеIн гула лечь спать (букв. положить голову туда, где утром найдёшь); гъолкьо лыссагьа къеIнбо гула къару ботIкъи уже пора ложиться спать; хварш. гъвайкьо"
ГЪОЛКЬО́СО,1. утренний; гъолкьосо кокну завтрак; гъолкьосо аᴴше утро 2. нареч. с утра; гъолкьосо нишогьокъа с утра до вечера; хварш. гъвайкьоса
ГЪОЛКЬО́ТIА,нареч. по утрам; гъолкьотIа иле бизан бийой по утрам мы делаем зарядку; хварш. гъвайкьотIа
ГЪО́ЛО,"IV (-о́, -о́бо, -за́) зоол. крупный рогатый скот; ило дагьар гъоло голи у нас мало крупного рогатого скота (есть); хварш. гъвало"
ГЪОЛО-ПО́СУ,IV (-ý) скот (мелкий и крупный рогатый); гъоло-посулул хъулухъ бийа бувок надо ухаживать за скотом; хварш. гъвало-посу
ГЪОН,"IV (-о́, -о́бо, -оза́) 1) бот. дерево; луIкъкъуI гъон большое дерево; зикас гъон сосна; ачитIос гъон сосна; гъонос хъал кора 2) перен. длинный, высокий человек; гъонцев гьикIо высокий (большой) мужчина ♦ гъон лутIадов (//лутIадогу) кIыца дятел (букв. птица, долбящая дерево); гъонос аᴴкIва клин; паз; гъонцев гьикIо длинный (высокий) человек (букв. как дерево человек); гъонос билъай букв. деревянная сабля-палка (которой размешивают на плите зерно, поджариваемое для помола на мельнице); гъоноло акIуз бытIха лыдо колоть дрова с помощью деревянного клина; гъонокьол оIмоIкъе багьалIа никогда (букв. когда осёл залезет на дерево); до дубгьо йуха оIмоIкъе гъонокьол багьалIа я за тебя никогда не выйду; хварш. гъван"
ГЪО́НГЪО,"IV (-о́, -о́бо, -оза́) щепка; гъонгъобо шуна собирать щепки; хварш. гъугъа́"
ГЪОН-ЛIИЛIУЦЕВ,длинный; высокий; гъон-лIилIуцев гъиIне высокая женщина (букв. как дерево женщина); см. гъон
ГЪОНО́С,1. форма ген.I от гъон 2. деревянный; гъонос аᴴхъ деревянный дом; гъонос уртула деревянная бочка (для хранения сыра на зиму); гъонос тIагIел предметы домашней обстановки (мебель) из дерева; деревянная утварь; бахIарайил гъонос тIагIел бези невесте купили деревянную мебель; хварш. гъванос
ГЪО́РА,"IV (-а́, -а́ба, -аза́) большой широкий таз (квант.); килис гъора металлический (железный) большой таз; хварш. гьуру; см. тас"
ГЪОРО́НЕ,IV (-е́) шерсть-линька (шерсть весенней стрижки); гъороне лутайа выдернуть шерсть-линьку (с овцы); хварш. гъоре
ГЪОТIО́РКIО,"V (-о́, -о́бо, -оза́) зоол. дятел; гъонокьо гъотIоркIо голи на дереве сидит дятел; гъотIоркIо гъон лутIайай дятел долбит дерево; хварш. гъван луйтIа кIеца"
ГЪО́ЦЦЕ,"III (-е́, -е́бо, -еза́) железное приспособление (против скольжения на льду в форме стремени, прикрепляемое к обуви ремнями); мачикьо гъоцце моцун к обуви прикрепили железное приспособление; хварш. гъвацце"
ГЪОЧIОНДОХА́,"(гъочIондо́хше, гъочIондохи́, гъочIондохы́н, гъочIондохōй, гъо́чIондохо) выпасть (о молочных зубах); къала гъочIондохи детские зубы выпали"
ГЪОЧIОНДО́ХНУ,1. масд. от гл. гъочIондоха́ 2. выпадение (зуба)
ГЪОЧIОНДОХКIА́,"(гъочIондохы́кIше, гъочIондохкIи́, гъочIондохкIы́н, гъочIондохкIōй, гъо́чIондохкIо) удалить (молочный или больной зуб)"
ГЪОЧIОНДОХЫ́КIНУ,масд. от гл. гъочIондахкIа́
ГЪОЧIО́НЕ,"I, II (-е́, -е́бо, -еза́) кривой зуб (человеческий); сусаншесо сыл йегъбулъо гъочIоне йехъв если не удалишь шатающийся зуб, то появится новый кривой зуб (в детском возрасте) ♦ гъочIоне йуIкъуIчIе беззубая старушка;хварш. гъвачIене"
ГЪО́IГОI,"III (-о́I, -о́Iбо, -оIза́) зеленый суп из крапивы (с добавлением других съедобных трав); эмгьо гъоIгоIбо лийой весной готовят крапивные супы; гьоIгоI лъолъорокIдов кул. букв. смягчающий зеленый крапивный суп (с добавлением растений, делающее суп приятным: лебеда и др.)"
ГЪО́IШО,"IV (-о́, -о́бо, -оза́) горсть; осус гъоIшо горсть денег (монет); канпиттозас гъоIшо горсть конфет; см. бибин"
ГЪУГЪА́Й,"IV (-и́, -бо, -за́) 1) грохот, шум 2) канонада (от стрельбы); лIолус гъугъай тухъше слышна канонада"
ГЪУДУЛАБО́СОС,зеленый (о цвете); гъудулабосос кьер зеленый цвет; гъудулабосос бох зеленая трава; см. хъайлIе
ГЪУЙ,"IV (и́, -бо, -за́) 1) скважина 2) колодец; иле лъел гъуй луᴴхи мы зарыли колодец (для воды)"
ГЪУЛИ-ГЪУ́ШИ,IV (-и́) каракули (в письме); неразборчивый почерк; дубо гъули-гъуши лъулун бичIчIидоби твои каракули никто не разберёт; исе гъули-гъушин лӣн хъвайин он написал неразборчиво; иду гъули-гъуши дихъо цIалида лехъби я не могу прочитать эти каракули; см. гъвала-гъвачIу
ГЪУР,"V (-а́, -а́ба, -аза́) камень; йытIтIу гъур тяжелый камень; гъурас аᴴхъ каменный дом; гъур йакква поднимать камень; иле мицIикIикьо гъурас лийой лечи мы в детстве играли в камешки; лехокьол йекIол гъур погов. на щебень падает камень; гъур гъуракьал йекIол камень на камень падает (букв. камень на камне останавливается); гъуракьан бох лехъхъу лIибаз гьикIоло гъуIдуIлъул гийоцIбо в обильное лето не позарься на чужое поле ♦ гъурас лину название детской игры «игра в пять круглых камушек» (в старину играли, а теперь забыта); гъуракьан бох лехъва летом обильный травостой стал (букв. и на камне трава растёт); гьикIоло хъодолълъо гъур предназначенная чужим (о дочери) (букв. камень в чужой стене)"
ГЪУРАЛА́,"(гъура́лше, гъурали́, гъуралы́н, гъуралāй, гъу́рала) 1) делать (молоть) крупный помол на мельнице (для корма скота); махъа гъурала молоть ячмень крупным помолом 2) перен. съедать в большом количестве; лацIа гъурала съесть еду (всю); хварш. гъуралаха"
ГЪУРА́ЛНУ,масд. от гл. гъурала́
ГЪУРАЛАХКIА́,"(гъуралахы́кIше, гъуралахкIи́, гъуралахкIы́н, гъуралахкIāй, гъу́ралахкIа) понуд. от гл. гъурала́"
ГЪУРАЛАХЫ́КIНУ,понуд. масд. от гл. гъуралахкIа́
ГЪУ́РИ,"IV (-и́) 1) дробление (напр., камня) 2) массовая вырубка леса; гъонолъ гъури бечхын в лесу валка (валёж) 3) рубка; битва; погром; истребление; уничтожение 4) перен. есть до отвала; хинкIезакьа гъури бечха съесть все хинкалы (букв. все хинкалы уничтожить); гъури бечха бечха а) преодолеть б) докончить (о еде) в) вырубить (вылить) лес; салдатза гъонолъ гъури бечхи солдаты вырубили лес (большой участок); къала лигуйар лацIалакьа гъури бечхи дети докончили всю приготовленную еду"
ГЪУРИДА́,"(гъури́дше//гъури́шше, гъуриди́, гъуриди́н, гъуридōй, гъу́ридо) 1) разбить вдребезги 2) дробить; раздробить что-л.; гераныз гъураба гъурида раздробить камень молотком 3) громить; разгромить кого-что-л. 4) истреблять; истребить кого-л.; гъон гъурида истребить лес; пашистбо гъурида разгромить фашистов"
ГЪУРИ́ДНУ,1. масд. от гл. гъурида́ 2. 1) раздробление 2) разгромление 3) истребление
ГЪУРИДОХКIА́,"(гъуридоху́кIше, гъуридохкIи́, гъуридохкIу́н, гъуридохкIōй, гъу́ридохкIо) понуд. от гл. гъурида́"
ГЪУРИДОХУ́КIНУ,понуд. масд. от гл. гъуридохкIа́
ГЪУРКЬИДА́,"(гъуркьи́дше// гъуркьи́шше, гъуркьиди́, гъуркьиди́н, гъуркьидōй, гъуркьидо) есть что-л. с хрустом (о человеке); исе эᴴш гъуркьиди он съел яблоко с хрустом; см. гъамида́"
ГЪУРКЬИ́ДНУ,масд. от гл. гъуркьида́
ГЪУРКЬИДОХКIА́,"(гъуркьидоху́кIше, гъуркьидохкIи́, гъуркьидохкIу́н, гъуркьидхкIōй, гъуркьидохкIо) понуд. есть что-л. с хрустом (о человеке)"
ГЪУРКЬИДОХУ́КIНУ,понуд. масд. от гл. гъуркьидохкIа́
ГЪУРУ́Ш,"V (-шо́, -шо́бо, -шоза́) рубль; бешон гъуруш сто рублей; аᴴлIалъ йохъу гъуруш йогу гьикIоло аᴴлIаъ йохъхъу бешонла гъурушшокьоз погов. лучше рубль, заработанный дома, чем большие деньги, полученные вдали; илочын хIалтIидин йохъхъу гъурушос къиммат бēч заработанный своим трудом рубль бывает ценным"
ГЪУР-ЦУРИДА́,"(гъур-цури́дше //гъур-цури́шше, гъур-цуриди́, гъур-цуриди́н, гъур-цуридōй, гъур-цу́ридо) то же, что гъурида́"
ГЪУР-ЦУРИ́ДНУ,масд. от гл. гъур-цурида́
ГЪУР-ЦУРИДОХКIА́,"(гъур-цуридоху́кIше, гъур-цуридохкIи́, гъур-цуридохкIу́н, гъур-цуридохкIōй, гъур-цу́ридохкIо) понуд. от гл. гъур-цурида́"
ГЪУР-ЦУРИДОХУ́КIНУ,понуд. масд. от гл. гъур-цуридохкIа́
ГЪУСИДА́,"(гъуси́дше//гъуси́шше, гъусиди́, гъусиди́н, гъусидōй, гъу́сидо) стать обильным (густым) (об урожае)"
ГЪУСИДИ́Н,"1. деепр. от гл. гъусида 2. нареч. густо, обильно; атI гъусидин лехъун пшеница уродилась густо; пшеница дала хороший урожай"
ГЪУСИ́ДНУ,масд. от гл. гъусида́
ГЪУСИДОКIА́,"(гъусидо́кIше, гъусидокIи́, гъусидокIу́н, гъусидокIōй, гъу́сидокIо) способствовать, чтобы стал обильным (густым) (об урожае)"
ГЪУСИДО́КIНУ,масд. от гл. гъусидокIа́
ГЪУСИДОХКIА́,"(гъусидоху́кIше, гъусидохкIи́, гъусидохкIу́н, гъусидохкIōй, гъу́сидохкIо) понуд. от гл. гъусидокIа́"
ГЪУСИДОХУ́КIНУ,понуд. масд. от гл. гъусидохкIа́
ГЪУТА́Н,"III (-и, -ба, -за) 1) гутан, кутан (зимние пастбища, где чабаны проводят зиму); быкь гъутанкьа голи отара (овцы) находится на зимних пастбищах 2) сельское поселение, селение"
ГЪУТУ́ХЪ,"V (-хъо́, -хъо́бо, -хъоза́) коробок; коробка; коробочка; шкатулка; кылыс гъутухъ жестяная коробка; чархибо гъутухъхъома гула положить катушки (нитки) в шкатулку"
ГЪУЧ,"IV (-и́) бот. рожь; гъучус хинкIебо хинкалы из ржи; гъуч нежа посеять рожь; гъуч нежжагьа, атI лēхъби посл. там, где посеяли рожь, пшеница не растёт"
ГЪУIГЪА́IРА,мутный; гъуIгъаIра эIᴴху мутная река; гъуIгъаIра лъо мутная вода
ГЪУIГЪАIРАКIАХКIА́,"(гъуIгъаIракIахы́кIше, гъуIгъаIракIахкIи́, гъуIгъаIракIахкIы́н, гъуIгъаIракIахкIāй, гъу́IгъаIракIахкIа) понуд. от гл. гъуIгъаIрахкIа́"
ГЪУIГЪАIРАКIАХЫ́КIНУ,понуд. масд. от гл. гъуIгъаIракIахкIа́
ГЪУIГЪАIРАХА́,"(гъуIгъаIра́хше, гъуIгъаIраIхи́, гъуIгъаIрахы́н, гъуIгъаIрахāй, гъу́IгъаIраха) 1) мутиться; замутиться; мутнеть; помутнеть; стать мутным; лъес коко гъуIгъаIраIхи родник стал мутным 2) стать мутным (о глазах); исо эзалаба гъуIгъаIраIхын у него глаза помутнели"
ГЪУIГЪАIРАХКIА́,"(гъуIгъаIрахы́кIше, гъуIгъаIрахкIи́, гъуIгъаIрахкIы́н, гъуIгъаIрахкIāй, гъу́IгъаIрахкIа) мутить; замутить; мутнеть; делать мутным"
ГЪУIГЪАIРАХНУ,1. масд. от гл. гъуIгъаIраха́ 2. 1) помутнение 2) мутность; эᴴхуло гъуIгъаIрахнуз дил гьимон лаквате из-за мутности воды я ничего в реке не вижу
ГЪУIГЪАIРАХЫ́КIНУ,масд. от гл. гъуIгъаIрахкIа́
ГЪУIГЪА́IРРУ,"прич. 1. замутневший 2) перен. замутневший (напр., больные глаза); гъуIгъаIрру эзалаба замутневшие глаза"
ГЪУ́IГЪУI:,гъу́IгъуI багьа́ 1) радоваться; порадоваться; обрадоваться чему-л. 2) веселиться; повеселиться; развеселиться; къала багьи дети обрадовались б) дети развеселились; гъуIгъуI багьну а) радость б) веселье; ср.: хварш. гъегъу багьа
ГЪУ́IГЪУI:,гъу́IгъуI бакква́ 1) радовать; порадовать кого-л.; доставлять (доставить) радость кому-л.; гьадан гъуIгъуI бакква порадовать (веселить) людей 2) веселить; повеселить; развеселить; увеселить кого-л.
ГЪУIДУ́IЛ,"IV (-а́, -а́ба, -за́) пахотный участок, пашня; поле; атIыс гъуIдуIл пшеничное поле; иле гъуIдуIлъ махъа межи мы посеяли на поле ячмень; гьикIоло гъуIдуIлъул гъураба чāлIба погов. в чужой участок не бросай камни; хварш. гъудул; см. беш, пастIан"
ГЪУIДУIЛАБОСОС,"зеленый, зеленоватый (гъуIдуIл пашня, босо оттенок; букв. с оттенком зеленеющего поля); гъуIдуIлабосос гид зелёное платье"
ГЪУ́IГЪУIН,III (-а́I) глиняный раствор (для штукатурки); известковый раствор; гъуIгъуIналъ йоху лъикIха смешать с глиняным месивом полову (мякину) (для крепости); хварш. гъеIгъна
ГЪЫГЪА́,"(гъы́гъше, гъыгъи́, гъыгъы́н, гъыйōгъ, гъы́гъо́) зажигаться; загораться; гореть; чирахъи гъыгъа лампа зажглась (загорелась)"
ГЪЫ́ГЪДОВ,// ГЪЫ́ГЪДОГУ пригодный для заточки (сухой; хорошего качества); гъыгъдов кваᴴ хорошая (пригодная для затопки) лучина
ГЪЫ́ГЪНУ,"1. масд. от гл. гъыгъа́ 2. загорание; горение (лампы, огня); цIо гъыгъну загорание огня"
ГЪЫГЪХА́,"// ГЪЫХХА́ (гъыгъы́гъше // гъыгъы́хше, гъыгъхи́//гъыххи́, гъыгъхы́н//гъыххы́н, гъыгъхōх// гъыххōх, гъы́гъхо//гъы́ххо) зажечь, зажигать; сжечь, сжигать; чирахъи гъы́хха зажечь лампу; см. гъыгъа́"
ГЪЫГЪХОКIА́,"(гъыгъхокIше// гъыххокIше, гъыгъхокIи́//гъыххокIи́, гъыгъхокIу́н//гъыххокIу́н, гъыгъхокIōй// гъыххокIōй, гъыгъхокIо // гъыххокIо) заставить зажечь (зажигать); заставить сжечь (сжигать)"
ГЪЫГЪХО́КIНУ,понуд. масд. от гл. гъыгъхокIа
ГЪЫГЪЫ́Н,"1. IV (-но́) зажжённые (раскаленные) угли; кылло лечIчIокьо цIоху гъыгъын некъа принести немного зажжённых углей на железном совке 2. крат. прил. зажжен (-а, -о); цIо гъыгъын огонь зажжён; кваᴴ гъыгъын лучина зажжена"
ГЪЫIГЪА́́I,"(гъы́Iгъше, гъыIгъи́, гъыIгъы́н, гъыIйōгъ//гъыIйогъ, гъы́Iгъо́I) терпеть, потерпеть, стерпеть; выдержать; вынести; мукену гъыIгъаI потерпеть голод; къварилъи гъыIгъIа выдержать испытания; илъе шомон гьимон гъыIгъи она терпела (перенесла) много трудностей; дихъо гъыÍгъоIлби я не выдержу; къалахъа гьимон гъыIгъōлби дети не выносяти трудности; хварш. гъегъа́"
ГЪЫIГЪА́IНА́,"(гъы́IгъаIнше, гъыIгъаIни́, гъыIгъаIны́н, гъыIгъаIнāй, гъы́IгъаIна) качать; укачивать; раскачивать; покачать; укачать; раскачать (напр. ребёнка в люльке); къала гъыIгъаIна покачивать ребёнка; рекене гъыIгъаIна качать люльку; гъыгъанше беча сомневаться; жиду иттон гъыгъанше бēч они всегда сомневаются; хварш. гъогъона"
ГЪЫIГЪАIНАКIА́,"(гъыIгъаIна́кIше, гъыIгъаIнакIи́, гъыIгъаIнакIы́н, гъыIгъаIнакIāй, гъы́IгъаIнакIа) слегка покачать; рекене гъыIгъаIнакIа́ слегка покачать колыбель; хварш. гъогъонакIа́"
ГЪИIГЪАIНА́КIНУ,масд. от гл. гъыIгъаIнакIа́
ГЪЫГЪАIНАХКIА́,"(гъыIгъаIнахы́кIше, гъыIгъаIнахкIи́, гъыIгъаIнахкIы́н, гъыIгъаIнахкIāй, гъы́IгъаIнахкIа) понуд. от гл. гъыIгъаIнакIа́"
ГЪЫIГЪАIНАХЫ́КIНУ,понуд. масд. от гл. гъыIгъаIнахкIа́
ГЪЫIГЪА́IННУ,1. масд. от гл. гъыIгъаIна́ 2. 1) дрожание; тряска; колебание; содрогание; вибрация 2) качание; раскачивание чего-л.; ала гъыIгъаIнну дрожание ветки; рекене гъыIгъаIнну качание люльки (колыбельки); хварш. гъогъонану см. гигигьну
ГЪЫIГЪДАIЙА́,"(гъыIгъда́Iше, гъыIгъдаIйи́, гъыIгъдаIйи́н, гъыIгъдаIйāй, гъы́IгъдаIйа) бурчать, ворчать; выражать недовольство; ср.: гъегъда (хварш.)"
ГЪЫIГЪДА́́IНУ,масд. от гл. гъыIгъдаIйа́
ГЪЫIГЪДАIХКIА́,"(гъыIгъдаIхы́кIше, гъыIгъдаIхкIи́, гъыIгъдаIхкIы́н, гъыIгъдаIхкIāй, гъы́IгъдаIхкIа) понуд. от гл. гъыIгъдаIйа́"
ГЪЫIГЪДАIХЫ́КIНУ,понуд. масд. от гл. гъыIгъдахкIа́
ГЪЫ́IГЪДОIВГЪЫ́IГЪДОIГУ,терпеливый; имеющий сильную выдержку; жидо ишу цIакъ гьимон гъыIгъдоIв (//гъыIгъдоIгу) гъиIне голи их мать очень терпеливая (имеющая сильную выдержку) женщина; хварш. гъēᴴгъа
ГЪЫIГЪНУ,1. масд. от гл. гъыIгъаI 2. терпение; выдержка; илъес гъыIгънуч гоби у неё нет терпения; хварш. гъеᴴгъаᴴну
ГЪЫIГЪХА́I,"// ГЪЫIХХА́I (гъыIгъы́Iгъше //гъыIгъы́Iхше, гъыIгъхи́//гъыIххи́, гъыIгъхы́н//гъыIххы́н, гъыIгъхōх//гъыIххōх, гъы́Iгъхо//гъы́Iххо) понуд. от гл. гъыIгъа́I"
ГЪЫIГЪХОIКIА́,"(гъыIгъхоIкIше// гъыIххоIкIше, гъыIгъхоIкIи́//гъыIххоIкIи́, гъыIгъхоIкIу́н//гъыIххоIкIу́н, гъыIгъхоIкIōй//гъыIххокIōй, гъыIгъхоIкIо// гъыIххокIо) понуд. II от гл. гъы́Iгъха// гъы́Iхха"
ГЪЫIГЪХО́IКIНУ,понуд. масд. от гл. гъыIгъхоIкIа
ГЪЫГЪЫ́ХНУ,// ГЪЫ́ХНУ масд. от гл. гъыгъха́ // гъыхха́
ГЪЫIГЪЫ́ХНУ,// ГЪЫ́IХНУ масд. от гл. гъыIгъха́I // гъыIхха́
ГЪЫ́IДУ,"III (-ý, -у́бо, -уза́) тень; гъонос гъыIду тень от дерева; дилоч гъыIдухъо лIырди испугалась собственной тени; луIкъкъуI гъонос гъыдун буIкъкъуI бēч погов. большое дерево даёт большую тень; гъыIду бийа уберечь от чего-либо (букв. делать тень над кем-либо); холло ишедыл гъыIдун бӣн голи йу она уберегает свекровь от всего; хварш. гъеду"
ГЪЫ́IЛIУ,"V (-а́, -ýбо, -уза́) брюки, штаны; лосины; гъыIлIас хIоIтIочIел шнурок на брюках; ужазас гъыIлIубо брюки (несколько пар) мальчишеские; кандыл гъыIлIу йеза купить дочери брюки; гъыIлIу шикьа надеть брюки (лосины); хварш. гъелIу; пегъу"
ГЪЫ́IНЛIУ,"V (-а́, -у́бо, -аза́) железная плита (для поджаривания зерна для помола)"
ГЪЫIР,"V (-мо́, -но́бо, -ноза́) 1) стопка, кипа; титраззас гъыIр стопка тетрадей 2) куча; лыдос гъыIр куча дров; хварш. гъер"
ГЪЫIТIА́,"(гъы́тте, гъыIтIи́, гъыIтIы́н, гъыйōтI, гъы́IтIе//гъы́IтIо) щекотать; къагъа гъыIтIа щекотать ребенку; дийо аᴴх гъыIтте моему животу щекотно; хварш. гъел'да́"
ГЪЫ́IТIНУ,1. масд. от гл. гъыIтIа 2. щекотание; до гъыIтIнухъо йувокь я боюсь щекотки; обу гъытIнухъо увокьби отец не боится щекотки; хварш. гъел'дану
ГЪЫIТIОIКIА́,"(гъыIтIо́IкIше, гъыIтIоIкIи́, гъыIтIоIкIу́н, гъыIтIоIкIōй, гъы́IтIоIкIо) понуд. щекотать, пощекотать; къалас гъыIтIоIкIа бегьидоби нельзя щекотать детей; хварш. гьел'дакIа́"
ГЪЫIТIО́IКIНУ,масд. от гл. гъыIтIоIкIа́
ГЪЫIТIОIКIОХКIА́,"(гъыIтIоIкIоху́кIше, гъыIтIоIкIохкIи́, гъыIтIоIкIохкIу́н, гъыIтIоIкIохкIōй, гъы́IтIоIкIохкIо) понуд. II от гл. гъыIтIоIкIа́; хварш. гьел'дахкIа́"
ГЪЫIТIОIКIОХУ́КIНУ,понуд. масд. от гл. гъыIтIоIкIохкIа́
ГЪЫ́IТIТIОВ,щекотливый; айеду кад цIакъ гъыIтIтIов голи эта девочка очень щекотливая (очень боится щекотки); хварш. гъелойда
ГЪЫIᴴГЪДАIЙА́,"(гъыIᴴгъда́Iше, гъыIᴴгъдаIйи́, гъыIᴴгъдаIйи́н, гъыIᴴгъдаIйāй, гъы́IᴴгъдаIйа) 1) ворчать, бурчать (о человеке); обу гъыIᴴгъдаIше отец бурчит (злится) 2) рычать (о животном); гъвеI гъыIᴴгъдаIйи собака зарычала"
ГЪЫIᴴГЪДА́IНУ,1. масд. от гл. гъыIᴴгъдаIйа́ 2. IV 1) бурчание; недовольство (ворчливость); холус гъыIᴴгъдаIнун кьуралын батIалъи надоело ворчливочть мужа и развелась 2) рычание
ГЪЫIᴴГЪДАIХКIА́,"(гъыIᴴгъдаIхы́кIше, гъыIᴴгъдаIхкIи́, гъыIᴴгъдаIхкIы́н, гъыIᴴгъдаIхкIāй, гъы́IᴴгъдаIхкIа) понуд. от гл. гъыIᴴгъдаIйа́"
ГЪЫIᴴГЪДАIХЫ́КIНУ,понуд. масд. от гл. гъыIᴴгъдаIхкIа́
ГЪЫIᴴГЪХА́I,"// ГЪЫIᴴХХА́I (гъыIᴴгъы́Iхше // гъы́Iᴴххше, гъыIᴴгъхи́ // гъыIᴴххи́I, гъыIᴴгъхы́Iн // гъыIᴴххы́Iн, гъыIᴴгъхōIй // гъыIᴴххōIй, гъы́IᴴгъхоI // гъы́IᴴххоI) понуд. заставить (или вынудить) терпеть; де илъехъо гIезагIан гIазаб гъыIᴴгъхи (//гъыIᴴххи) я делал ей много испытаний (заставил её терпеть много мук); хварш. гъеᴴгъаᴴха"
ГЬАБА́́: ГЬАБА́,бетIвала́ получить согласие невесты (после этого ей дают подарки); ило гьаба бетIвалзагъул мокIун бечи мы ходили на получения согласия
ГЬА́ВА,1 V (-а́) 1) воздух; бацIцIадаб гьава чистый воздух 2) климат; гьава рокъате климат не подходит 3) погода; богу гьава хорошая погода; см. гьава-бакъ
ГЬА́ВА,2 V (-а́) 1) любовь 2) страсть; гьава бергьида победить страсти 3) увлечённость; гьава цIикIкIидду увлеченный (страстный)
ГЬА́ВА-БАКЪ,"III (-и́) 1) климат 2) погода, йехъулъ богу гьава-бакъ голи сегодня хорошая погода (есть) 3) перен. отношения, взаимоотношения; жидо гьава-бакъ бов (//богу) гоби у них неважные взаимоотношения (есть); гьава-бакъ рокъа а) подходить климатические условия б) ужиться; аклиматизироваться в) перен. привыкать, привыкнуть друг к другк; жить в ладу (в согласии) (букв. погода наладиться); илул лIилолсо гьава-бакъ рокъше нам подходит равнинный климат; бахIарай ыцIну гьакъулъ гьава-бакъын рокъун голи невеста привыкла (ужилась) к новой семье; см. гьава1"
ГЬА́ГАВ,"(-ви́, -бтIа) 1) глуповатый, туповатый ( в знач. у него не все дома); легкий (о поведении); гьагай гъиIне а) туповатая женщина б) женщина легкого поведения; ср.: гьагаб, гьагай, гьагар; см. гьага-махIав"
ГЬА́ГА-МАХIАВ,"(-ви́, -бтIа) глуповатый, туповатый; ило абахар гьага-махIав гьикIо голи наш сосед глуповатый (туповатый) человек; ср.: гьага-махIаб, гьага-махIай, гьага-махIар; см. гьа́гав"
ГЬАГЛЪА́,"(гьагы́лълъе, гьаглъи́, гьаглъы́н, гьагāлъ, гьа́глъа) 1) глупеть, дурнеть 2) возбудиться; сильно разгневаться; обу гьаглъи отец сильно разгневался"
ГЬАГЛЪАКIВА́,"(гьаглъа́кIвше, гьаглъакIви́, гьаглъакIу́н, гьаглъакIвāй, гьа́глъакIва) понуд. глупеть, дурнеть, возбудиться; сильно разгневать; илъе хабара до гьаглъакIви этот разговор сильно разгневал меня"
ГЬАГЛЪА́КIНУ,понуд. масд. от гл. гьаглъакIва́
ГЬА́ГЛЪИ,"IV (-и́) дурость, глупость; гьаглъи лакхва показать (свою) глупость; дубло гьаглъикьо до тамашалъи я удивиляюсь твом глупым поступком"
ГЬАГЫ́ЛЪНУ,масд. от гл. гьаглъа́
ГЬАГЬАЛIА́,"(гьагьа́лIлIе, гьагьалIи́, гьагьалIы́н, гьагьалIāй, гьа́гьалIа) 1) зевать, зазевать; гьагьалIдов (//гьагьалдогу) гьикIо зевающий мужчина; къала гьагьалIлIе голи дети зевают (т.е. хотят спать) 2) перен. бездельничать (скучать); гьагьалIлIеч бечбу хIалтIи бийо хватит зевать, надо работать (букв. не занимаясь зеванием, работайте) ♦ гьагьалIлIе беча не иметь интереса (букв. то и дело зевать); хварш. гьагьалIаха"
ГЬАГЬАЛIАКIВА́,"(гьагьалIа́кIвше, гьагьалIакIви́, гьагьалIакIу́н, гьагьалIакIвāй, гьа́гьалIакIва) вызвать зевоту, передать зевоту другому"
ГЬАГЬАЛIА́КIНУ,масд. от гл. гьагьалIакIва́
ГЬАГЬАЛIАХКIВА́,"(гьагьалIаху́кIше, гьагьалIахкIви́, гьагьалIахкIу́н, гьагьалIахкIвāй, гьа́гьалIахкIва) понуд. от гл. гьагьалIакIва́"
ГЬАГЬАЛIАХУ́КIНУ,понуд. масд. от гл. гьагьалIахкIва́
ГЬАГЬАЛIНУ,"1. масд. от гл. гьагьалIа́ 2. зевание; къалала гьагьалIнухъолын гыцIцIын, дилич лIыса къвечи наблюдая (смотря) на зевание детей (зевающих детей), самой захотелось спать"
ГЬАГЬАМА́ЛIЫЛ:,гьагьама́лIыл лулIа́ собраться в кучу (в прохладном месте – о мелком рогатом скоте); быкь гьагьамалIыл лулIун овцы собрались в прохладном месте
ГЬАГЬА́ЧА,"межд. гагача (издевательское слово, когда хотят выразить своё недовольство) ♦ гьогьов гьагьача уст. издевательско-насмешливое возражение каким-л. доводам оппонента; гьогьов гьагьача, до онду хабаракьа йаршидоби я брезгую таким разговорам"
